StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:45+00:00Z,2022-01-01T00:00+00:00Z,10Y1001A1001A83F,MAW,B14,3351
2022-01-01T00:00+00:00Z,2022-01-01T00:15+00:00Z,10Y1001A1001A83F,MAW,B14,3350
2022-01-01T00:15+00:00Z,2022-01-01T00:30+00:00Z,10Y1001A1001A83F,MAW,B14,3347
2022-01-01T00:30+00:00Z,2022-01-01T00:45+00:00Z,10Y1001A1001A83F,MAW,B14,3344
2022-01-01T00:45+00:00Z,2022-01-01T01:00+00:00Z,10Y1001A1001A83F,MAW,B14,3347
2022-01-01T01:00+00:00Z,2022-01-01T01:15+00:00Z,10Y1001A1001A83F,MAW,B14,3345
2022-01-01T01:15+00:00Z,2022-01-01T01:30+00:00Z,10Y1001A1001A83F,MAW,B14,3348
2022-01-01T01:30+00:00Z,2022-01-01T01:45+00:00Z,10Y1001A1001A83F,MAW,B14,3337
2022-01-01T01:45+00:00Z,2022-01-01T02:00+00:00Z,10Y1001A1001A83F,MAW,B14,3348
2022-01-01T02:00+00:00Z,2022-01-01T02:15+00:00Z,10Y1001A1001A83F,MAW,B14,3342
2022-01-01T02:15+00:00Z,2022-01-01T02:30+00:00Z,10Y1001A1001A83F,MAW,B14,3343
2022-01-01T02:30+00:00Z,2022-01-01T02:45+00:00Z,10Y1001A1001A83F,MAW,B14,3337
2022-01-01T02:45+00:00Z,2022-01-01T03:00+00:00Z,10Y1001A1001A83F,MAW,B14,3342
2022-01-01T03:00+00:00Z,2022-01-01T03:15+00:00Z,10Y1001A1001A83F,MAW,B14,3343
2022-01-01T03:15+00:00Z,2022-01-01T03:30+00:00Z,10Y1001A1001A83F,MAW,B14,3344
2022-01-01T03:30+00:00Z,2022-01-01T03:45+00:00Z,10Y1001A1001A83F,MAW,B14,3341
2022-01-01T03:45+00:00Z,2022-01-01T04:00+00:00Z,10Y1001A1001A83F,MAW,B14,3345
2022-01-01T04:00+00:00Z,2022-01-01T04:15+00:00Z,10Y1001A1001A83F,MAW,B14,3345
2022-01-01T04:15+00:00Z,2022-01-01T04:30+00:00Z,10Y1001A1001A83F,MAW,B14,3351
2022-01-01T04:30+00:00Z,2022-01-01T04:45+00:00Z,10Y1001A1001A83F,MAW,B14,3348
2022-01-01T04:45+00:00Z,2022-01-01T05:00+00:00Z,10Y1001A1001A83F,MAW,B14,3343
2022-01-01T05:00+00:00Z,2022-01-01T05:15+00:00Z,10Y1001A1001A83F,MAW,B14,3342
2022-01-01T05:15+00:00Z,2022-01-01T05:30+00:00Z,10Y1001A1001A83F,MAW,B14,3346
2022-01-01T05:30+00:00Z,2022-01-01T05:45+00:00Z,10Y1001A1001A83F,MAW,B14,3342
2022-01-01T05:45+00:00Z,2022-01-01T06:00+00:00Z,10Y1001A1001A83F,MAW,B14,3340
2022-01-01T06:00+00:00Z,2022-01-01T06:15+00:00Z,10Y1001A1001A83F,MAW,B14,3334
2022-01-01T06:15+00:00Z,2022-01-01T06:30+00:00Z,10Y1001A1001A83F,MAW,B14,3311
2022-01-01T06:30+00:00Z,2022-01-01T06:45+00:00Z,10Y1001A1001A83F,MAW,B14,3332
2022-01-01T06:45+00:00Z,2022-01-01T07:00+00:00Z,10Y1001A1001A83F,MAW,B14,3345
2022-01-01T07:00+00:00Z,2022-01-01T07:15+00:00Z,10Y1001A1001A83F,MAW,B14,3343
2022-01-01T07:15+00:00Z,2022-01-01T07:30+00:00Z,10Y1001A1001A83F,MAW,B14,3347
2022-01-01T07:30+00:00Z,2022-01-01T07:45+00:00Z,10Y1001A1001A83F,MAW,B14,3339
2022-01-01T07:45+00:00Z,2022-01-01T08:00+00:00Z,10Y1001A1001A83F,MAW,B14,3331
2022-01-01T08:00+00:00Z,2022-01-01T08:15+00:00Z,10Y1001A1001A83F,MAW,B14,3328
2022-01-01T08:15+00:00Z,2022-01-01T08:30+00:00Z,10Y1001A1001A83F,MAW,B14,3330
2022-01-01T08:30+00:00Z,2022-01-01T08:45+00:00Z,10Y1001A1001A83F,MAW,B14,3334
2022-01-01T08:45+00:00Z,2022-01-01T09:00+00:00Z,10Y1001A1001A83F,MAW,B14,3337
2022-01-01T09:00+00:00Z,2022-01-01T09:15+00:00Z,10Y1001A1001A83F,MAW,B14,3336
2022-01-01T09:15+00:00Z,2022-01-01T09:30+00:00Z,10Y1001A1001A83F,MAW,B14,3340
2022-01-01T09:30+00:00Z,2022-01-01T09:45+00:00Z,10Y1001A1001A83F,MAW,B14,3344
2022-01-01T09:45+00:00Z,2022-01-01T10:00+00:00Z,10Y1001A1001A83F,MAW,B14,3344
2022-01-01T10:00+00:00Z,2022-01-01T10:15+00:00Z,10Y1001A1001A83F,MAW,B14,3342
2022-01-01T10:15+00:00Z,2022-01-01T10:30+00:00Z,10Y1001A1001A83F,MAW,B14,3340
2022-01-01T10:30+00:00Z,2022-01-01T10:45+00:00Z,10Y1001A1001A83F,MAW,B14,3347
2022-01-01T10:45+00:00Z,2022-01-01T11:00+00:00Z,10Y1001A1001A83F,MAW,B14,3354
2022-01-01T11:00+00:00Z,2022-01-01T11:15+00:00Z,10Y1001A1001A83F,MAW,B14,3351
2022-01-01T11:15+00:00Z,2022-01-01T11:30+00:00Z,10Y1001A1001A83F,MAW,B14,3343
2022-01-01T11:30+00:00Z,2022-01-01T11:45+00:00Z,10Y1001A1001A83F,MAW,B14,3344
2022-01-01T11:45+00:00Z,2022-01-01T12:00+00:00Z,10Y1001A1001A83F,MAW,B14,3347
2022-01-01T12:00+00:00Z,2022-01-01T12:15+00:00Z,10Y1001A1001A83F,MAW,B14,3348
2022-01-01T12:15+00:00Z,2022-01-01T12:30+00:00Z,10Y1001A1001A83F,MAW,B14,3345
2022-01-01T12:30+00:00Z,2022-01-01T12:45+00:00Z,10Y1001A1001A83F,MAW,B14,3336
2022-01-01T12:45+00:00Z,2022-01-01T13:00+00:00Z,10Y1001A1001A83F,MAW,B14,3277
2022-01-01T13:00+00:00Z,2022-01-01T13:15+00:00Z,10Y1001A1001A83F,MAW,B14,3269
