StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-01-27T00:30+00:00Z,2022-01-27T01:00+00:00Z,10Y1001A1001A92E,MAW,B04,62
2022-01-27T01:00+00:00Z,2022-01-27T01:30+00:00Z,10Y1001A1001A92E,MAW,B04,57
2022-01-27T06:30+00:00Z,2022-01-27T07:00+00:00Z,10Y1001A1001A92E,MAW,B04,101
2022-01-27T07:00+00:00Z,2022-01-27T07:30+00:00Z,10Y1001A1001A92E,MAW,B04,138
2022-01-27T12:30+00:00Z,2022-01-27T13:00+00:00Z,10Y1001A1001A92E,MAW,B04,160
2022-01-27T13:00+00:00Z,2022-01-27T13:30+00:00Z,10Y1001A1001A92E,MAW,B04,167
2022-01-27T18:30+00:00Z,2022-01-27T19:00+00:00Z,10Y1001A1001A92E,MAW,B04,276
2022-01-27T19:00+00:00Z,2022-01-27T19:30+00:00Z,10Y1001A1001A92E,MAW,B04,259
2022-01-29T06:30+00:00Z,2022-01-29T07:00+00:00Z,10Y1001A1001A92E,MAW,B04,56
2022-01-29T07:00+00:00Z,2022-01-29T07:30+00:00Z,10Y1001A1001A92E,MAW,B04,56
2022-01-29T12:30+00:00Z,2022-01-29T13:00+00:00Z,10Y1001A1001A92E,MAW,B04,62
2022-01-29T13:00+00:00Z,2022-01-29T13:30+00:00Z,10Y1001A1001A92E,MAW,B04,33
2022-01-29T18:30+00:00Z,2022-01-29T19:00+00:00Z,10Y1001A1001A92E,MAW,B04,46
2022-01-29T19:00+00:00Z,2022-01-29T19:30+00:00Z,10Y1001A1001A92E,MAW,B04,46
2022-01-30T00:30+00:00Z,2022-01-30T01:00+00:00Z,10Y1001A1001A92E,MAW,B04,47
2022-01-30T01:00+00:00Z,2022-01-30T01:30+00:00Z,10Y1001A1001A92E,MAW,B04,45
2022-01-30T06:30+00:00Z,2022-01-30T07:00+00:00Z,10Y1001A1001A92E,MAW,B04,69
2022-01-30T07:00+00:00Z,2022-01-30T07:30+00:00Z,10Y1001A1001A92E,MAW,B04,79
2022-01-30T18:30+00:00Z,2022-01-30T19:00+00:00Z,10Y1001A1001A92E,MAW,B04,32
2022-01-30T19:00+00:00Z,2022-01-30T19:30+00:00Z,10Y1001A1001A92E,MAW,B04,32
2022-01-31T00:30+00:00Z,2022-01-31T01:00+00:00Z,10Y1001A1001A92E,MAW,B04,33
2022-01-31T01:00+00:00Z,2022-01-31T01:30+00:00Z,10Y1001A1001A92E,MAW,B04,32
2022-01-31T06:30+00:00Z,2022-01-31T07:00+00:00Z,10Y1001A1001A92E,MAW,B04,87
2022-01-31T07:00+00:00Z,2022-01-31T07:30+00:00Z,10Y1001A1001A92E,MAW,B04,98
2022-01-31T12:30+00:00Z,2022-01-31T13:00+00:00Z,10Y1001A1001A92E,MAW,B04,84
2022-01-31T13:00+00:00Z,2022-01-31T13:30+00:00Z,10Y1001A1001A92E,MAW,B04,87
2022-01-31T18:30+00:00Z,2022-01-31T19:00+00:00Z,10Y1001A1001A92E,MAW,B04,86
2022-01-31T19:00+00:00Z,2022-01-31T19:30+00:00Z,10Y1001A1001A92E,MAW,B04,85
2022-02-01T00:30+00:00Z,2022-02-01T01:00+00:00Z,10Y1001A1001A92E,MAW,B04,32
2022-02-01T01:00+00:00Z,2022-02-01T01:30+00:00Z,10Y1001A1001A92E,MAW,B04,32
2022-02-01T06:30+00:00Z,2022-02-01T07:00+00:00Z,10Y1001A1001A92E,MAW,B04,49
2022-02-01T07:00+00:00Z,2022-02-01T07:30+00:00Z,10Y1001A1001A92E,MAW,B04,68
2022-02-01T12:30+00:00Z,2022-02-01T13:00+00:00Z,10Y1001A1001A92E,MAW,B04,92
2022-02-01T13:00+00:00Z,2022-02-01T13:30+00:00Z,10Y1001A1001A92E,MAW,B04,91
2022-02-01T18:30+00:00Z,2022-02-01T19:00+00:00Z,10Y1001A1001A92E,MAW,B04,185
2022-02-01T19:00+00:00Z,2022-02-01T19:30+00:00Z,10Y1001A1001A92E,MAW,B04,178
2022-02-02T00:30+00:00Z,2022-02-02T01:00+00:00Z,10Y1001A1001A92E,MAW,B04,116
2022-02-02T01:00+00:00Z,2022-02-02T01:30+00:00Z,10Y1001A1001A92E,MAW,B04,115
2022-02-02T06:30+00:00Z,2022-02-02T07:00+00:00Z,10Y1001A1001A92E,MAW,B04,181
2022-02-02T07:00+00:00Z,2022-02-02T07:30+00:00Z,10Y1001A1001A92E,MAW,B04,197
2022-02-02T12:30+00:00Z,2022-02-02T13:00+00:00Z,10Y1001A1001A92E,MAW,B04,234
2022-02-02T13:00+00:00Z,2022-02-02T13:30+00:00Z,10Y1001A1001A92E,MAW,B04,236
2022-02-02T18:30+00:00Z,2022-02-02T19:00+00:00Z,10Y1001A1001A92E,MAW,B04,237
2022-02-02T19:00+00:00Z,2022-02-02T19:30+00:00Z,10Y1001A1001A92E,MAW,B04,240
2022-02-03T00:30+00:00Z,2022-02-03T01:00+00:00Z,10Y1001A1001A92E,MAW,B04,60
